latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,
33.625,73.125,583,0,GMT,GMT,,,,,,,,
,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation_probability (%),precipitation (mm),rain (mm),showers (mm),surface_pressure (hPa),visibility (m),cloud_cover_high (%),cloud_cover_mid (%),cloud_cover_low (%)
2025-04-22T17:00,22.4,34,5.8,20.2,0,0,0,0,945,24140,0,0,0
2025-04-22T18:00,21.7,32,4.3,19.2,0,0,0,0,944.9,24140,0,0,0
2025-04-22T19:00,21.3,35,5.2,19,0,0,0,0,944.3,24140,0,0,0
2025-04-22T20:00,20.8,38,5.9,18.7,0,0,0,0,944.1,24140,0,0,0
2025-04-22T21:00,20.4,39,6,18.4,0,0,0,0,943.6,24140,0,0,0
2025-04-22T22:00,20.1,40,6.1,18.1,0,0,0,0,943.4,24140,0,0,0
2025-04-22T23:00,19.9,41,6.3,18,0,0,0,0,943.4,24140,0,0,0
2025-04-23T00:00,19.8,42,6.5,18.1,0,0,0,0,942.7,24140,0,0,0
2025-04-23T01:00,19.3,44,6.8,17.7,0,0,0,0,943.4,24140,0,0,0
2025-04-23T02:00,21,46,8.9,20,0,0,0,0,943.8,24140,0,0,0
2025-04-23T03:00,24.9,38,9.6,24.3,0,0,0,0,944.5,24140,1,0,0
2025-04-23T04:00,27.6,30,8.5,26.8,0,0,0,0,944.8,24140,3,0,0
2025-04-23T05:00,29.6,28,9.2,29.9,0,0,0,0,945,24140,5,0,0
2025-04-23T06:00,31.6,24,8.6,32,0,0,0,0,944.4,24140,8,0,0
2025-04-23T07:00,33.2,22,8.6,33.5,0,0,0,0,944.2,24140,11,0,0
2025-04-23T08:00,34.1,19,7.2,33.8,0,0,0,0,943.3,24140,15,0,0
2025-04-23T09:00,34.3,17,5.7,33.3,0,0,0,0,942.9,24140,89,0,0
2025-04-23T10:00,34.1,16,4.7,32.2,0,0,0,0,941.9,24140,98,0,0
2025-04-23T11:00,33.6,15,3.4,30.6,0,0,0,0,941.3,24140,100,0,0
2025-04-23T12:00,33.1,13,1,29.4,0,0,0,0,941.3,24140,0,0,0
